,Unnamed: 0,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
65,147,71031296,32,51.28161009280348,-115.70956609205408,70411146.1,2319.7143563098407,32,51.28161009280348,51.28161009280348,85,70411146.12558359,85,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,70251869.70599301,0.9977379090051098,0.1447064405863833,0.9977379090051098,0.1751680085869404,2.0,3.0,1
66,152,71031359,33,51.31929645649142,-116.1921087727054,43681770.89,2415.539345052886,33,51.31929645649142,51.31929645649142,87,43681770.91029658,87,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,999620.5069572842,0.0228841570780193,0.002059041646924,0.0228841570780193,0.0026246138639214,2.0,2.0,1
67,151,71031359,33,51.31929645649142,-116.1921087727054,43681770.89,2415.539345052886,33,51.31929645649142,51.31929645649142,87,43681770.91029658,87,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,42682150.4033393,0.9771158429219808,0.0879176894122089,0.9771158429219808,0.4216865292854849,2.0,1.0,1
68,156,71031503,34,51.36001537408404,-116.237274100702,30588043.79,2413.054304645063,34,51.36001537408404,51.36001537408404,90,30588043.807175577,90,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,7250364.036447165,0.2370326158205095,0.0150153897876479,0.2370326158205095,0.0170088197500117,1.0,1.0,1
69,157,71031503,34,51.36001537408404,-116.237274100702,30588043.79,2413.054304645063,34,51.36001537408404,51.36001537408404,90,30588043.807175577,90,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,23337679.77072841,0.7629673841794904,0.0480714973893153,0.7629673841794904,0.2305691042062537,2.0,1.0,1
70,163,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,40720887.37470742,0.4231989656131055,0.083877834058703,0.4231989656131045,0.101534617927928,2.0,3.0,1
71,160,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,30223587.151357524,0.3141039315247473,0.0622552500983689,0.3141039315247466,0.0793553606621654,2.0,2.0,1
72,161,71031506,35,51.34880685538449,-115.88016161561666,96221613.64,2371.327424044896,35,51.34880685538449,51.34880685538449,92,96221613.6698572,92,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,25277139.14379249,0.2626971028621495,0.0523485572659153,0.2626971028621488,0.1032752477038016,1.0,2.0,1
73,168,71031643,36,51.39109548258578,-116.26725593912336,21720997.01,2492.927133332092,36,51.39109548258578,51.39109548258578,95,21720997.02252514,95,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,3704314.238872861,0.1705407092976168,0.0076302329114366,0.1705407092976168,0.0365974863031008,2.0,1.0,1
74,167,71031643,36,51.39109548258578,-116.26725593912336,21720997.01,2492.927133332092,36,51.39109548258578,51.39109548258578,95,21720997.02252514,95,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,18016682.78365228,0.8294592907023832,0.0373122664347636,0.8294592907023832,0.0422658101606777,1.0,1.0,1
